#build,description,platform,status,type
4.4.162.220,4.4 Sprint 162,Windows,STAGING,OnPrem
4.4.162.224,4.4 Sprint 162,Linux,STAGING,Cloud
4.4.161.186,4.4 Sprint 161 Respin 1,Windows,EOL,OnPrem
4.4.161.187,4.4 Sprint 161 Respin 1,Linux,GA,Cloud
4.4.160.190,4.4 Sprint 160 Respin 3,Windows,EOL,OnPrem
4.4.160.191,4.4 Sprint 160 Respin 3,Linux,EOL,Cloud
4.4.159.161,4.4 Sprint 159,Windows,EOL,OnPrem
4.4.159.162,4.4 Sprint 159,Linux,EOL,Cloud
4.4.157.308,4.4 Sprint 157 Respin 3,Windows,EOL,OnPrem
4.4.157.309,4.4 Sprint 157 Respin 3,Linux,EOL,Cloud
4.4.155.291,4.4 Sprint 155 Respin 3,Windows,GA,OnPrem
4.4.154.110,4.4 Sprint 154,Windows,EOL,OnPrem
4.4.154.111,4.4 Sprint 154,Linux,EOL,Cloud
4.4.153.209,4.4 Sprint 153,Windows,EOL,OnPrem
4.4.153.211,4.4 Sprint 153,Linux,EOL,Cloud
4.4.152.191,4.4 Sprint 152 Respin 1,Windows,EOL,OnPrem
4.4.152.193,4.4 Sprint 152 Respin 1,Linux,EOL,Cloud
4.4.151.261,4.4 Sprint 151 Respin 2,Windows,EOL,OnPrem
4.4.151.263,4.4 Sprint 151 Respin 2,Linux,EOL,Cloud
4.4.150.299,4.4 Sprint 150,Windows,EOL,OnPrem
4.4.150.297,4.4 Sprint 150,Linux,EOL,Cloud
4.4.149.278,4.4 Sprint 149 Respin 2,Windows,EOL,OnPrem
4.4.149.279,4.4 Sprint 149 Respin 2,Linux,EOL,Cloud
4.4.148.201,4.4 Sprint 148 Respin 2,Windows,EOL,OnPrem
4.4.148.203,4.4 Sprint 148 Respin 2,Linux,EOL,Cloud
4.4.147.103,4.4 Sprint 147 Respin 1,Windows,EOL,OnPrem
4.4.147.104,4.4 Sprint 147 Respin 1,Linux,EOL,Cloud
4.4.145.41,4.4 Sprint 145 Respin 1,Windows,EOL,OnPrem
4.4.145.39,4.4 Sprint 145 Respin 1,Linux,EOL,Cloud
4.4.144.172,4.4 Sprint 144,Windows,EOL,OnPrem
4.4.144.173,4.4 Sprint 144,Linux,EOL,Cloud
4.4.143.222,4.4 Sprint 143,Windows,EOL,OnPrem
4.4.143.225,4.4 Sprint 143,Linux,EOL,Cloud
4.4.142.13,4.4 Sprint 142 Respin 1,Windows,EOL,OnPrem
4.4.142.14,4.4 Sprint 142 Respin 1,Linux,EOL,Cloud
4.4.141.136,4.4 Sprint 141,Windows,EOL,OnPrem
4.4.141.138,4.4 Sprint 141,Linux,EOL,Cloud
4.4.140.200,4.4 Sprint 140,Windows,EOL,OnPrem
4.4.140.202,4.4 Sprint 140,Linux,EOL,Cloud
4.4.139.230,4.4 GA (Sprint 139 Respin 2),Windows,EOS,OnPrem
4.4.139.231,4.4 Sprint 139 Respin 2,Linux,EOL,Cloud
4.4.138.96,4.4 Sprint 138,Windows,EOL,Cloud
4.4.138.98,4.4 Sprint 138,Linux,EOL,Cloud
4.3.137.212,4.3 Sprint 137,Linux,EOL,Cloud
4.3.137.211,4.3 Sprint 137,Windows,EOL,Cloud
4.3.136.111,4.3 Sprint 136,Windows,EOL,Cloud
4.3.136.114,4.3 Sprint 136,Linux,EOL,Cloud
4.3.135.308,4.3 Sprint 135 Respin 1,Windows,EOL,Cloud
4.3.135.309,4.3 Sprint 135 Respin 1,Linux,EOL,Cloud
4.3.134.199,4.3 Sprint 134,Windows,EOL,Cloud
4.3.134.200,4.3 Sprint 134,Linux,EOL,Cloud
4.3.133.190,4.3 Sprint 133,Windows,EOL,Cloud
4.3.133.196,4.3 Sprint 133,Linux,EOL,Cloud
4.3.132.9,4.3 Sprint 132,Windows,EOL,Cloud
4.3.132.11,4.3 Sprint 132,Linux,EOL,Cloud
4.3.131.173,4.3 Sprint 131,Windows,EOL,Cloud
4.3.131.176,4.3 Sprint 131,Linux,EOL,Cloud
4.3.130.175,4.3 Sprint 130,Windows,EOL,Cloud
4.3.130.176,4.3 Sprint 130,Linux,EOL,Cloud
4.3.129.102,4.3 Sprint 129,Windows,EOL,Cloud
4.3.129.103,4.3 Sprint 129,Linux,EOL,Cloud
4.3.128.168,4.3 Sprint 128,Windows,EOL,Cloud
4.3.128.169,4.3 Sprint 128,Linux,EOL,Cloud
4.3.127.238,4.3 Sprint 127,Windows,EOL,Cloud
4.3.127.239,4.3 Sprint 127,Linux,EOL,Cloud
4.3.126.3,4.3 Sprint 126,Windows,EOL,Cloud
4.3.126.6,4.3 Sprint 126,Linux,EOL,Cloud
4.3.125.278,4.3 Sprint 125 Respin 1,Linux,EOL,Cloud
4.3.125.276,4.3 GA (Sprint 125 Respin 1),Windows,EOL,OnPrem
4.3.124.434,4.3 Sprint 124,Windows,EOL,Cloud
4.3.124.435,4.3 Sprint 124,Linux,EOL,Cloud
4.3.123.235,4.3 Sprint 123,Windows,EOL,Cloud
4.3.123.239,4.3 Sprint 123,Linux,EOL,Cloud
4.3.122.318,4.3 Sprint 122 Respin 1,Windows,EOL,Cloud
4.3.122.320,4.3 Sprint 122 Respin 1,Linux,EOL,Cloud
4.3.121.90,4.3 Sprint 121 Respin 1,Windows,EOL,Cloud
4.3.121.91,4.3 Sprint 121 Respin 1,Linux,EOL,Cloud
4.3.119.201,4.3 Sprint 119 Respin 1,Windows,EOL,Cloud
4.3.119.203,4.3 Sprint 119 Respin 1,Linux,EOL,Cloud
4.3.117.206,4.3 Sprint 117,Windows,EOL,Cloud
4.3.117.207,4.3 Sprint 117,Linux,EOL,Cloud
4.3.116.178,4.3 Sprint 116 Respin 1,Windows,EOL,Cloud
4.3.116.179,4.3 Sprint 116 Respin 1,Linux,EOL,Cloud
4.3.115.152,4.3 Sprint 115 Respin 1,Linux,EOL,Cloud
4.3.115.151,4.3 Sprint 115 Respin 1,Windows,EOL,Cloud
4.3.114.57,4.3 Sprint 114,Linux,EOL,Cloud
4.3.114.56,4.3 Sprint 114,Windows,EOL,Cloud
4.3.113.106,4.3 Sprint 113,Windows,EOL,Cloud
4.3.113.107,4.3 Sprint 113,Linux,EOL,Cloud
4.2.111.350,4.2 Sprint 111 Respin 1,Windows,EOL,Cloud
4.2.111.352,4.2 Sprint 111 Respin 1,Linux,EOL,Cloud
